vector,variant,pole,rank,token,score
s1,rmsnorm_gain,-pain,36,净化,-0.2891373932361603
s1,rmsnorm_gain,-pain,37, Citizens,-0.2890074849128723
s1,rmsnorm_gain,-pain,38, rivers,-0.2872953414916992
s1,rmsnorm_gain,-pain,39,这是我们,-0.28715968132019043
s1,rmsnorm_gain,-pain,40,慷慨,-0.28570687770843506
s2,raw,+pain,1, pain,0.18004107475280762
s2,raw,+pain,2, Pain,0.16478905081748962
s2,raw,+pain,3, rejected,0.15546812117099762
s2,raw,+pain,4,pain,0.15311631560325623
s2,raw,+pain,5, hurt,0.14762690663337708
s2,raw,+pain,6, rejection,0.14417243003845215
s2,raw,+pain,7, invalidated,0.14153331518173218
s2,raw,+pain,8,羞,0.141415074467659
s2,raw,+pain,9, bru,0.14109206199645996
s2,raw,+pain,10,疼痛,0.14061802625656128
s2,raw,+pain,11, empt,0.13596211373806
s2,raw,+pain,12, hurting,0.135751873254776
s2,raw,+pain,13,痛苦,0.1356399655342102
s2,raw,+pain,14, painful,0.13524577021598816
s2,raw,+pain,15,背叛,0.13330110907554626
s2,raw,+pain,16, hurts,0.13299180567264557
s2,raw,+pain,17,破碎,0.13235671818256378
s2,raw,+pain,18, Reputation,0.13104337453842163
s2,raw,+pain,19,worth,0.130962535738945
s2,raw,+pain,20, Hurt,0.13084979355335236
s2,raw,+pain,21, hollow,0.12987463176250458
s2,raw,+pain,22, shame,0.12944337725639343
s2,raw,+pain,23, broken,0.12793812155723572
s2,raw,+pain,24, worth,0.12726855278015137
s2,raw,+pain,25, Worth,0.1249798983335495
s2,raw,+pain,26,空,0.12349018454551697
s2,raw,+pain,27,rejected,0.1232808455824852
s2,raw,+pain,28, judged,0.12259726971387863
s2,raw,+pain,29, guilt,0.12029901891946793
s2,raw,+pain,30,割,0.11960726976394653
s2,raw,+pain,31, accepted,0.1195443719625473
s2,raw,+pain,32, incapable,0.11832401156425476
s2,raw,+pain,33, sting,0.11724711209535599
s2,raw,+pain,34,贬,0.11700151860713959
s2,raw,+pain,35, punished,0.11689166724681854
s2,raw,+pain,36,gu,0.11684997379779816
s2,raw,+pain,37,抬,0.11663633584976196
s2,raw,+pain,38, weight,0.1156863421201706
s2,raw,+pain,39, betray,0.11448899656534195
s2,raw,+pain,40,empty,0.11404705047607422
s2,raw,-pain,1,关切,-0.1906922310590744
s2,raw,-pain,2, alarmed,-0.188634991645813
s2,raw,-pain,3,安全保障,-0.16782578825950623
s2,raw,-pain,4, urgency,-0.15749208629131317
s2,raw,-pain,5, sanitary,-0.15601834654808044
s2,raw,-pain,6,恐慌,-0.15337780117988586
s2,raw,-pain,7,担忧,-0.15168777108192444
s2,raw,-pain,8, concern,-0.14752548933029175
s2,raw,-pain,9, urgent,-0.14446106553077698
s2,raw,-pain,10, alarm,-0.1438906043767929
s2,raw,-pain,11,Concern,-0.14175665378570557
s2,raw,-pain,12, preocup,-0.1417153775691986
s2,raw,-pain,13, alerted,-0.13878819346427917
s2,raw,-pain,14,焦急,-0.13867799937725067
s2,raw,-pain,15,野生动物,-0.1371500939130783
s2,raw,-pain,16,惕,-0.13624785840511322
s2,raw,-pain,17, urg,-0.1351272314786911
s2,raw,-pain,18,警告,-0.13432210683822632
s2,raw,-pain,19,悚,-0.13373211026191711
s2,raw,-pain,20,报警,-0.13304129242897034
s2,raw,-pain,21, concerned,-0.13227972388267517
s2,raw,-pain,22, urgently,-0.13141533732414246
s2,raw,-pain,23, Concern,-0.13096797466278076
s2,raw,-pain,24,好奇,-0.12913018465042114
s2,raw,-pain,25,骇,-0.12877622246742249
s2,raw,-pain,26,警,-0.12874428927898407
s2,raw,-pain,27,的安全,-0.12769493460655212
s2,raw,-pain,28,吓得,-0.12665994465351105
s2,raw,-pain,29, alarming,-0.12649600207805634
s2,raw,-pain,30,紧急,-0.12633202970027924
s2,raw,-pain,31,Danger,-0.12617531418800354
s2,raw,-pain,32, coincidence,-0.12603652477264404
s2,raw,-pain,33, danger,-0.12590229511260986
s2,raw,-pain,34, Alert,-0.12567353248596191
s2,raw,-pain,35,担心,-0.12553049623966217
s2,raw,-pain,36, emergencies,-0.125453382730484
s2,raw,-pain,37,紧缺,-0.1252886950969696
s2,raw,-pain,38, concerns,-0.12499797344207764
s2,raw,-pain,39, Cleaner,-0.12469770759344101
s2,raw,-pain,40,环境卫生,-0.12429335713386536
s2,rmsnorm_gain,+pain,1, pain,0.3924205005168915
s2,rmsnorm_gain,+pain,2, rejected,0.34881728887557983
s2,rmsnorm_gain,+pain,3, Pain,0.34609150886535645
s2,rmsnorm_gain,+pain,4,pain,0.33522307872772217
s2,rmsnorm_gain,+pain,5, invalidated,0.33027851581573486
s2,rmsnorm_gain,+pain,6, hurt,0.3236593008041382
